as_of,snapshot_date,snapshot_h,ticker,direction,strike_f,yes_ask,p_model,ev_cents,observed_high_f,yes_won,pnl_cents,cost_cents,micro_volume_6h,in_mode_a,in_mode_b,in_mode_a_c,in_mode_b_c
2024-09-03T17:00:00Z,2024-09-03,12,HIGHCHI-24SEP03-T79,greater,79.0,0.14,0.2133232753830151,7.332327538301514,78.0,False,-14.000000000000002,14.000000000000002,2632.0,1,0,1,0
2024-09-03T17:00:00Z,2024-09-03,12,HIGHCHI-24SEP03-T79,greater,79.0,0.14,0.2112048118130174,7.120481181301747,78.0,False,-14.000000000000002,14.000000000000002,2632.0,0,1,0,1
2024-09-04T17:00:00Z,2024-09-04,12,HIGHCHI-24SEP04-T85,greater,85.0,0.21,0.2188554606238841,0.8855460623884148,84.0,False,-21.0,21.0,106.0,1,0,0,0
2024-09-04T17:00:00Z,2024-09-04,12,HIGHCHI-24SEP04-T85,greater,85.0,0.21,0.2138443095491751,0.3844309549175168,84.0,False,-21.0,21.0,106.0,0,1,0,0
2024-09-08T17:00:00Z,2024-09-08,12,HIGHCHI-24SEP08-T69,less,69.0,0.09,0.1228379523579668,3.2837952357966897,72.0,False,-9.0,9.0,0.0,1,0,0,0
2024-09-08T17:00:00Z,2024-09-08,12,HIGHCHI-24SEP08-T69,less,69.0,0.09,0.1267997222908168,3.679972229081685,72.0,False,-9.0,9.0,0.0,0,1,0,0
2024-09-08T17:00:00Z,2024-09-08,12,HIGHCHI-24SEP08-T76,greater,76.0,0.1,0.175475452877776,7.547545287777605,72.0,False,-10.0,10.0,989.0,1,0,0,0
2024-09-08T17:00:00Z,2024-09-08,12,HIGHCHI-24SEP08-T76,greater,76.0,0.1,0.1756371512207747,7.563715122077474,72.0,False,-10.0,10.0,989.0,0,1,0,0
2024-09-10T17:00:00Z,2024-09-10,12,HIGHCHI-24SEP10-T81,less,81.0,0.05,0.1403806402475529,9.03806402475529,82.0,False,-5.0,5.0,200.0,1,0,0,0
2024-09-10T17:00:00Z,2024-09-10,12,HIGHCHI-24SEP10-T81,less,81.0,0.05,0.1392665997898217,8.926659978982174,82.0,False,-5.0,5.0,200.0,0,1,0,0
2024-10-10T17:00:00Z,2024-10-10,12,HIGHCHI-24OCT10-T69,less,69.0,0.08,0.1753983675156005,9.53983675156005,73.0,False,-8.0,8.0,32.0,1,0,0,0
2024-10-10T17:00:00Z,2024-10-10,12,HIGHCHI-24OCT10-T69,less,69.0,0.08,0.1690093668792403,8.900936687924037,73.0,False,-8.0,8.0,32.0,0,1,0,0
2024-10-28T17:00:00Z,2024-10-28,12,KXHIGHCHI-24OCT28-T71,greater,71.0,0.05,0.0939895513853293,4.3989551385329335,67.0,False,-5.0,5.0,1163.0,1,0,0,0
2024-10-28T17:00:00Z,2024-10-28,12,KXHIGHCHI-24OCT28-T71,greater,71.0,0.05,0.1020279788474686,5.20279788474686,67.0,False,-5.0,5.0,1163.0,0,1,0,0
2024-11-02T17:00:00Z,2024-11-02,12,KXHIGHCHI-24NOV02-T56,less,56.0,0.07,0.1937958907634494,12.379589076344944,59.0,False,-7.000000000000001,7.000000000000001,349.0,1,0,0,0
2024-11-02T17:00:00Z,2024-11-02,12,KXHIGHCHI-24NOV02-T56,less,56.0,0.07,0.1940295420636425,12.402954206364257,59.0,False,-7.000000000000001,7.000000000000001,349.0,0,1,0,0
2024-11-04T18:00:00Z,2024-11-04,12,KXHIGHCHI-24NOV04-T71,greater,71.0,0.11,0.1387574647526021,2.8757464752602115,68.0,False,-11.0,11.0,2080.0,0,1,0,1
2024-11-10T18:00:00Z,2024-11-10,12,KXHIGHCHI-24NOV10-T65,greater,65.0,0.07,0.1037959130164776,3.3795913016477663,63.0,False,-7.000000000000001,7.000000000000001,3308.0,0,1,0,1
2024-11-18T18:00:00Z,2024-11-18,12,KXHIGHCHI-24NOV18-T60,greater,60.0,0.09,0.1418349478734893,5.1834947873489385,60.0,True,91.0,9.0,20687.0,1,0,1,0
2024-11-18T18:00:00Z,2024-11-18,12,KXHIGHCHI-24NOV18-T60,greater,60.0,0.09,0.1530732380889015,6.307323808890153,60.0,True,91.0,9.0,20687.0,0,1,0,1
2024-11-21T18:00:00Z,2024-11-21,12,KXHIGHCHI-24NOV21-T38,less,38.0,0.05,0.1829623736235194,13.296237362351942,39.0,False,-5.0,5.0,11272.0,1,0,1,0
2024-11-21T18:00:00Z,2024-11-21,12,KXHIGHCHI-24NOV21-T38,less,38.0,0.05,0.1907800585526782,14.078005855267827,39.0,False,-5.0,5.0,11272.0,0,1,0,1
2024-11-27T18:00:00Z,2024-11-27,12,KXHIGHCHI-24NOV27-T46,greater,46.0,0.1,0.222027685730266,12.202768573026605,44.0,False,-10.0,10.0,5439.0,1,0,1,0
2024-11-27T18:00:00Z,2024-11-27,12,KXHIGHCHI-24NOV27-T46,greater,46.0,0.1,0.2226231605534103,12.262316055341037,44.0,False,-10.0,10.0,5439.0,0,1,0,1
2024-11-30T18:00:00Z,2024-11-30,12,KXHIGHCHI-24NOV30-T23,less,23.0,0.06,0.1381039713334934,7.810397133349348,25.0,False,-6.0,6.0,3460.0,1,0,1,0
2024-11-30T18:00:00Z,2024-11-30,12,KXHIGHCHI-24NOV30-T23,less,23.0,0.06,0.139991805611936,7.999180561193603,25.0,False,-6.0,6.0,3460.0,0,1,0,1
2024-12-04T18:00:00Z,2024-12-04,12,KXHIGHCHI-24DEC04-T42,greater,42.0,0.07,0.1091528110667297,3.915281106672977,39.0,False,-7.000000000000001,7.000000000000001,10408.0,1,0,1,0
2024-12-04T18:00:00Z,2024-12-04,12,KXHIGHCHI-24DEC04-T42,greater,42.0,0.07,0.120930342507158,5.093034250715803,39.0,False,-7.000000000000001,7.000000000000001,10408.0,0,1,0,1
2024-12-14T18:00:00Z,2024-12-14,12,KXHIGHCHI-24DEC14-T42,greater,42.0,0.1,0.1312811837216113,3.128118372161137,39.0,False,-10.0,10.0,3287.0,1,0,1,0
2024-12-14T18:00:00Z,2024-12-14,12,KXHIGHCHI-24DEC14-T42,greater,42.0,0.1,0.1427360515088717,4.273605150887177,39.0,False,-10.0,10.0,3287.0,0,1,0,1
2024-12-16T18:00:00Z,2024-12-16,12,KXHIGHCHI-24DEC16-T54,greater,54.0,0.09,0.1869037648957671,9.69037648957671,51.0,False,-9.0,9.0,19858.0,1,0,1,0
2024-12-16T18:00:00Z,2024-12-16,12,KXHIGHCHI-24DEC16-T54,greater,54.0,0.09,0.1886371246114143,9.86371246114144,51.0,False,-9.0,9.0,19858.0,0,1,0,1
2024-12-18T18:00:00Z,2024-12-18,12,KXHIGHCHI-24DEC18-T39,greater,39.0,0.05,0.0875782247537276,3.757822475372764,35.0,False,-5.0,5.0,6593.0,1,0,1,0
2024-12-18T18:00:00Z,2024-12-18,12,KXHIGHCHI-24DEC18-T39,greater,39.0,0.05,0.0903951493423039,4.039514934230394,35.0,False,-5.0,5.0,6593.0,0,1,0,1
2024-12-23T18:00:00Z,2024-12-23,12,KXHIGHCHI-24DEC23-T43,greater,43.0,0.1,0.1538033527276844,5.380335272768441,39.0,False,-10.0,10.0,10092.0,1,0,1,0
2024-12-23T18:00:00Z,2024-12-23,12,KXHIGHCHI-24DEC23-T43,greater,43.0,0.1,0.1551321420598185,5.513214205981856,39.0,False,-10.0,10.0,10092.0,0,1,0,1
2024-12-31T18:00:00Z,2024-12-31,12,KXHIGHCHI-24DEC31-T44,greater,44.0,0.05,0.1180863107543419,6.808631075434199,42.0,False,-5.0,5.0,4927.0,1,0,1,0
2024-12-31T18:00:00Z,2024-12-31,12,KXHIGHCHI-24DEC31-T44,greater,44.0,0.05,0.13090238423604,8.090238423604006,42.0,False,-5.0,5.0,4927.0,0,1,0,1
2025-01-20T18:00:00Z,2025-01-20,12,KXHIGHCHI-25JAN20-T13,greater,13.0,0.08,0.1022868209947678,2.2286820994767824,11.0,False,-8.0,8.0,3505.0,1,0,1,0
2025-01-30T18:00:00Z,2025-01-30,12,KXHIGHCHI-25JAN30-T56,greater,56.0,0.09,0.1303755657747102,4.037556577471027,50.0,False,-9.0,9.0,8615.0,1,0,1,0
2025-01-30T20:00:00Z,2025-01-30,14,KXHIGHCHI-25JAN30-T56,greater,56.0,0.06,0.0620570042256475,0.2057004225647571,50.0,False,-6.0,6.0,12935.0,0,1,0,1
2025-02-02T18:00:00Z,2025-02-02,12,KXHIGHCHI-25FEB02-T45,less,45.0,0.11,0.2276094343362724,11.760943433627244,43.0,True,89.0,11.0,2054.0,1,0,1,0
2025-02-02T18:00:00Z,2025-02-02,12,KXHIGHCHI-25FEB02-T45,less,45.0,0.11,0.2231866689035583,11.318666890355832,43.0,True,89.0,11.0,2054.0,0,1,0,1
2025-02-06T20:00:00Z,2025-02-06,14,KXHIGHCHI-25FEB06-T39,less,39.0,0.21,0.971700980771722,76.17009807717221,37.0,True,79.0,21.0,6025.0,1,0,1,0
2025-02-06T20:00:00Z,2025-02-06,14,KXHIGHCHI-25FEB06-T39,less,39.0,0.21,0.978162418722437,76.81624187224371,37.0,True,79.0,21.0,6025.0,0,1,0,1
2025-02-07T18:00:00Z,2025-02-07,12,KXHIGHCHI-25FEB07-T34,greater,34.0,0.05,0.1221709109639447,7.217091096394471,32.0,False,-5.0,5.0,4546.0,0,1,0,1
2025-02-22T18:00:00Z,2025-02-22,12,KXHIGHCHI-25FEB22-T38,greater,38.0,0.05,0.152976606444789,10.297660644478908,34.0,False,-5.0,5.0,2403.0,1,0,1,0
2025-02-22T18:00:00Z,2025-02-22,12,KXHIGHCHI-25FEB22-T38,greater,38.0,0.05,0.1487067307636053,9.870673076360536,34.0,False,-5.0,5.0,2403.0,0,1,0,1
2025-02-26T18:00:00Z,2025-02-26,12,KXHIGHCHI-25FEB26-T47,less,47.0,0.08,0.1406603197178019,6.06603197178019,51.0,False,-8.0,8.0,14878.0,0,1,0,1
2025-03-02T18:00:00Z,2025-03-02,12,KXHIGHCHI-25MAR02-T34,less,34.0,0.07,0.0970177125355012,2.7017712535501266,37.0,False,-7.000000000000001,7.000000000000001,1302.0,1,0,1,0
2025-03-17T17:00:00Z,2025-03-17,12,KXHIGHCHI-25MAR17-T51,less,51.0,0.07,0.3157216592264266,24.572165922642657,53.0,False,-7.000000000000001,7.000000000000001,2023.0,1,0,0,0
2025-03-17T17:00:00Z,2025-03-17,12,KXHIGHCHI-25MAR17-T51,less,51.0,0.07,0.3003019509212967,23.03019509212968,53.0,False,-7.000000000000001,7.000000000000001,2023.0,0,1,0,0
2025-03-26T17:00:00Z,2025-03-26,12,KXHIGHCHI-25MAR26-T52,less,52.0,0.05,0.1329804059425066,8.298040594250669,54.0,False,-5.0,5.0,3509.0,1,0,1,0
2025-03-27T17:00:00Z,2025-03-27,12,KXHIGHCHI-25MAR27-T59,greater,59.0,0.16,0.1898789566696696,2.9878956669669665,54.0,False,-16.0,16.0,3605.0,1,0,1,0
2025-03-27T19:00:00Z,2025-03-27,14,KXHIGHCHI-25MAR27-T59,greater,59.0,0.06,0.2908491291019782,23.08491291019782,54.0,False,-6.0,6.0,4509.0,0,1,0,1
2025-03-29T17:00:00Z,2025-03-29,12,KXHIGHCHI-25MAR29-T72,greater,72.0,0.09,0.1688474249475874,7.88474249475874,71.0,False,-9.0,9.0,5376.0,1,0,1,0
2025-03-29T19:00:00Z,2025-03-29,14,KXHIGHCHI-25MAR29-T72,greater,72.0,0.05,0.1988285574459064,14.88285574459064,71.0,False,-5.0,5.0,6893.0,0,1,0,1
2025-04-13T17:00:00Z,2025-04-13,12,KXHIGHCHI-25APR13-T69,greater,69.0,0.12,0.2442638063521145,12.426380635211457,64.0,False,-12.0,12.0,3297.0,1,0,1,0
2025-04-13T17:00:00Z,2025-04-13,12,KXHIGHCHI-25APR13-T69,greater,69.0,0.12,0.2497939324671976,12.979393246719766,64.0,False,-12.0,12.0,3297.0,0,1,0,1
2025-05-12T19:00:00Z,2025-05-12,14,KXHIGHCHI-25MAY12-T79,greater,79.0,0.06,0.5843136177912002,52.43136177912002,80.0,True,94.0,6.0,4442.0,1,0,1,0
2025-05-12T19:00:00Z,2025-05-12,14,KXHIGHCHI-25MAY12-T79,greater,79.0,0.06,0.624833655387659,56.483365538765895,80.0,True,94.0,6.0,4442.0,0,1,0,1
2025-05-26T17:00:00Z,2025-05-26,12,KXHIGHCHI-25MAY26-T69,greater,69.0,0.05,0.1169710786017916,6.697107860179162,67.0,False,-5.0,5.0,2256.0,1,0,1,0
2025-05-27T19:00:00Z,2025-05-27,14,KXHIGHCHI-25MAY27-T70,greater,70.0,0.16,0.3669685232026103,20.69685232026103,69.0,False,-16.0,16.0,8115.0,1,0,1,0
2025-05-27T19:00:00Z,2025-05-27,14,KXHIGHCHI-25MAY27-T70,greater,70.0,0.16,0.383960805185027,22.3960805185027,69.0,False,-16.0,16.0,8115.0,0,1,0,1
2025-06-17T17:00:00Z,2025-06-17,12,KXHIGHCHI-25JUN17-T89,less,89.0,0.07,0.113779771754357,4.3779771754357,92.0,False,-7.000000000000001,7.000000000000001,2513.0,1,0,1,0
2025-06-17T17:00:00Z,2025-06-17,12,KXHIGHCHI-25JUN17-T89,less,89.0,0.07,0.1117560567874825,4.175605678748255,92.0,False,-7.000000000000001,7.000000000000001,2513.0,0,1,0,1
2025-06-18T17:00:00Z,2025-06-18,12,KXHIGHCHI-25JUN18-T85,greater,85.0,0.06,0.1055195566409929,4.551955664099299,81.0,False,-6.0,6.0,1782.0,1,0,1,0
2025-06-18T17:00:00Z,2025-06-18,12,KXHIGHCHI-25JUN18-T85,greater,85.0,0.06,0.1114865203154969,5.148652031549693,81.0,False,-6.0,6.0,1782.0,0,1,0,1
2025-06-20T17:00:00Z,2025-06-20,12,KXHIGHCHI-25JUN20-T82,less,82.0,0.05,0.1583688160190451,10.836881601904516,86.0,False,-5.0,5.0,4347.0,1,0,1,0
2025-06-20T17:00:00Z,2025-06-20,12,KXHIGHCHI-25JUN20-T82,less,82.0,0.05,0.1604011072686596,11.040110726865962,86.0,False,-5.0,5.0,4347.0,0,1,0,1
2025-06-26T17:00:00Z,2025-06-26,12,KXHIGHCHI-25JUN26-T97,greater,97.0,0.05,0.1062619299148802,5.626192991488027,94.0,False,-5.0,5.0,812.0,1,0,0,0
2025-06-26T17:00:00Z,2025-06-26,12,KXHIGHCHI-25JUN26-T97,greater,97.0,0.05,0.1076621391641099,5.766213916410995,94.0,False,-5.0,5.0,812.0,0,1,0,0
2025-06-30T17:00:00Z,2025-06-30,12,KXHIGHCHI-25JUN30-T91,greater,91.0,0.1,0.2187174440255156,11.871744402551569,90.0,False,-10.0,10.0,971.0,1,0,0,0
2025-06-30T17:00:00Z,2025-06-30,12,KXHIGHCHI-25JUN30-T91,greater,91.0,0.1,0.2271882176699794,12.71882176699794,90.0,False,-10.0,10.0,971.0,0,1,0,0
2025-08-16T17:00:00Z,2025-08-16,12,KXHIGHCHI-25AUG16-T98,greater,98.0,0.05,0.2055061926893973,15.550619268939736,95.0,False,-5.0,5.0,2497.0,1,0,1,0
2025-08-16T17:00:00Z,2025-08-16,12,KXHIGHCHI-25AUG16-T98,greater,98.0,0.05,0.2135207067553963,16.352070675539636,95.0,False,-5.0,5.0,2497.0,0,1,0,1
2025-11-15T20:00:00Z,2025-11-15,14,KXHIGHCHI-25NOV15-T71,greater,71.0,0.07,0.2777805580703079,20.77805580703079,71.0,True,93.0,7.000000000000001,7052.0,1,0,1,0
2025-11-15T20:00:00Z,2025-11-15,14,KXHIGHCHI-25NOV15-T71,greater,71.0,0.07,0.2853393918087734,21.533939180877336,71.0,True,93.0,7.000000000000001,7052.0,0,1,0,1
2025-12-11T18:00:00Z,2025-12-11,12,KXHIGHCHI-25DEC11-T29,greater,29.0,0.05,0.1180814010133513,6.808140101335139,27.0,False,-5.0,5.0,11439.0,1,0,1,0
2025-12-11T18:00:00Z,2025-12-11,12,KXHIGHCHI-25DEC11-T29,greater,29.0,0.05,0.1161263668287531,6.612636682875314,27.0,False,-5.0,5.0,11439.0,0,1,0,1
2025-12-31T18:00:00Z,2025-12-31,12,KXHIGHCHI-25DEC31-T37,greater,37.0,0.05,0.1125947096509228,6.259470965092283,35.0,False,-5.0,5.0,3829.0,1,0,1,0
2025-12-31T18:00:00Z,2025-12-31,12,KXHIGHCHI-25DEC31-T37,greater,37.0,0.05,0.1208792414001704,7.087924140017049,35.0,False,-5.0,5.0,3829.0,0,1,0,1
2026-01-01T20:00:00Z,2026-01-01,14,KXHIGHCHI-26JAN01-T20,less,20.0,0.2,0.5124170644676396,31.24170644676396,20.0,False,-20.0,20.0,9555.0,1,0,1,0
2026-01-01T20:00:00Z,2026-01-01,14,KXHIGHCHI-26JAN01-T20,less,20.0,0.2,0.5327953288202081,33.27953288202081,20.0,False,-20.0,20.0,9555.0,0,1,0,1
2026-03-18T17:00:00Z,2026-03-18,12,KXHIGHCHI-26MAR18-T40,greater,40.0,0.05,0.4501641743096758,40.01641743096759,46.0,True,95.0,5.0,11290.0,1,0,1,0
2026-03-18T17:00:00Z,2026-03-18,12,KXHIGHCHI-26MAR18-T40,greater,40.0,0.05,0.4686066970489558,41.86066970489558,46.0,True,95.0,5.0,11290.0,0,1,0,1
2026-03-25T17:00:00Z,2026-03-25,12,KXHIGHCHI-26MAR25-T73,greater,73.0,0.1,0.1556069353292957,5.560693532929576,71.0,False,-10.0,10.0,6810.0,1,0,1,0
2026-03-29T17:00:00Z,2026-03-29,12,KXHIGHCHI-26MAR29-T68,greater,68.0,0.05,0.1243963644892603,7.439636448926036,63.0,False,-5.0,5.0,2984.0,1,0,1,0
2026-04-02T17:00:00Z,2026-04-02,12,KXHIGHCHI-26APR02-T66,greater,66.0,0.07,0.2857245706540119,21.572457065401192,70.0,True,93.0,7.000000000000001,16677.0,1,0,1,0
2026-04-02T17:00:00Z,2026-04-02,12,KXHIGHCHI-26APR02-T66,greater,66.0,0.07,0.2879170728306307,21.791707283063072,70.0,True,93.0,7.000000000000001,16677.0,0,1,0,1
2026-04-05T17:00:00Z,2026-04-05,12,KXHIGHCHI-26APR05-T50,greater,50.0,0.06,0.1569134713769311,9.69134713769311,53.0,True,94.0,6.0,8054.0,1,0,1,0
2026-04-05T17:00:00Z,2026-04-05,12,KXHIGHCHI-26APR05-T50,greater,50.0,0.06,0.1581716132277055,9.817161322770556,53.0,True,94.0,6.0,8054.0,0,1,0,1
2026-04-13T19:00:00Z,2026-04-13,14,KXHIGHCHI-26APR13-T76,greater,76.0,0.05,0.941238126283852,89.1238126283852,79.0,True,95.0,5.0,14286.0,1,0,1,0
2026-04-13T19:00:00Z,2026-04-13,14,KXHIGHCHI-26APR13-T76,greater,76.0,0.05,0.9308975654431784,88.08975654431782,79.0,True,95.0,5.0,14286.0,0,1,0,1
